,cluster,top_categories
44,44,"[' Turkish', ' Mediterranean', 'Restaurants', ' Restaurants', ' Vegetarian', 'Tapas/Small Plates', ' Latin American', ' Ice Cream & Frozen Yogurt', 'Food', ' Italian']"
45,45,"['Food', ' Breweries', 'Burgers', ' Cinema', 'Seafood', 'Mexican', ' Shopping', ' Restaurants', ' Italian', 'Restaurants']"
46,46,"[' Restaurants', 'Mexican', ' Food', 'Bakeries', 'Food', ' Coffee & Tea', ' Sandwiches', ' Italian', 'Restaurants', 'Barbeque']"
47,47,"[' Restaurants', 'Mexican', 'Caribbean', 'Hair Salons', ' Nail Salons', ' Beauty & Spas', ' Eyelash Service', 'Food', ' Delis', 'Seafood']"
48,48,"['Veterinarians', ' Pets']"
49,49,"['Food', ' Grocery']"
50,50,"[' Restaurants', 'Breakfast & Brunch', ' Sandwiches', ' Nightlife', 'Bars', ' Pubs', ' Food', ' Wine & Spirits', ' Sports Bars', ' Beer']"
51,51,"['Television Stations', ' Mass Media']"
52,52,"[' Restaurants', 'Pizza']"
53,53,"['Food', 'Mexican', 'Hair Salons', ' Day Spas', ' Tex-Mex', ' Beauty & Spas', ' Coffee & Tea', ' Nail Salons', ' Candy Stores', ' Ice Cream & Frozen Yogurt']"
54,54,"[' Restaurants', ' Pizza', 'Italian', 'Automotive', ' Motorcycle Dealers']"
55,55,"[' Restaurants', ' Pizza', 'Italian', ' Barbeque', 'Bars', ' Nightlife', 'Sandwiches', 'Burgers', ' Fast Food', ' Dive Bars']"
56,56,"[' Stadiums & Arenas', 'Arts & Entertainment', ' Arts & Entertainment', 'Museums', 'Steakhouses', ' American (New)', 'Bars', ' Nightlife', 'Active Life', 'Hotels & Travel']"
57,57,"[' Local Flavor', 'Arts & Entertainment', 'Local Services']"
58,58,"['Bakeries', ' Food', ' Desserts', 'Breakfast & Brunch', ' Restaurants', ' Diners', ' American (Traditional)', ' Books', ' Real Estate Services', 'Shopping']"
59,59,"['Food', ' Grocery', 'Hot Dogs', 'Thai', ' Coffee & Tea', 'Hotels & Travel', ' Event Planning & Services', ' Hotels', 'Bakeries', ' Cafes']"
60,60,"[' Beauty & Spas', ' Chiropractors', ' Massage', 'Health & Medical', 'Hair Salons', ' Dry Cleaning & Laundry', 'Local Services']"
61,61,"[' Mediterranean', ' Restaurants', 'Pizza', ' Gas & Service Stations', 'Auto Repair', ' Automotive', ' Tires', 'Health & Medical', ' Urgent Care', ' Home & Garden']"
62,62,"[' Nurseries & Gardening', ' Home & Garden', 'Shopping']"
63,63,"[' Restaurants', 'Cafes']"
64,64,"[' Restaurants', ' Diners', 'Breakfast & Brunch', 'Thai', 'Pizza', 'Food', ' Sandwiches', ' Gluten-Free', ' Desserts', 'Hot Dogs']"
65,65,"['Food', ' Coffee & Tea', ' Beauty & Spas', 'Massage', 'Auto Repair', ' Automotive', ' Apartments', ' Real Estate', 'Home Services']"
66,66,"[' Fitness & Instruction', ' Pilates', ' Gyms', ' Trainers', 'Active Life', 'Tires', ' Automotive', ' Car Stereo Installation', ' Auto Detailing', 'Bars']"
67,67,"[' Restaurants', 'Breakfast & Brunch', 'American (New)', ' Cafes', 'Italian', ' Sandwiches', 'Pizza', 'Bakeries', ' Food']"
68,68,"['Pet Services', ' Dog Walkers', ' Pets']"
69,69,"[' Restaurants', ' American (Traditional)', 'Bars', ' Nightlife']"
70,70,"[' Italian', 'Restaurants', ' Cinema', 'Arts & Entertainment', ' Restaurants', 'Sushi Bars', ' Hotels & Travel', ' Apartments', ' Hotels', 'Home Services']"
71,71,"[' Gas & Service Stations', 'Automotive', 'Health & Medical', ' Nail Salons', 'Beauty & Spas', ' Chiropractors', ' General Dentistry', ' Dentists']"
72,72,"[' Restaurants', ' Nightlife', 'American (New)', ' Mediterranean', 'Thai', ' Bars', 'Bars', ' Shopping', 'Wine Bars', ' Beauty & Spas']"
73,73,"[' Restaurants', ' American (Traditional)', 'Bars', ' Nightlife']"
74,74,"['Car Wash', ' Automotive', 'Sandwiches', ' Restaurants', ' Venues & Event Spaces', ' Hotels', ' Event Planning & Services', 'Hotels & Travel']"
